"Estamento","Grado","Titulo.Oficio","Funcion.Cargo","Unidad","BrutoHaber"
"AUXILIARES","23","AUXILIAR","AUXILIAR","UNIDAD DE GESTION DEL CAMPUS",508253
"PROFESOR HORAS CLASES","S/G","PROFESOR DE MATEMATICAS","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",955862
"PROFESIONALES","10","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","FACULTAD DE INGENIERÍA",760768
"ADMINISTRATIVO","17","SECRETARIA DE SUBDIRECCION","SECRETARIA DE SUBDIRECCION","ESCUELA DE PSICOLOGIA",732222
"ADMINISTRATIVO","17","ADMINISTRATIVO DE PROCESO","ADMINISTRATIVO DE PROCESO","DPTO TRANSFERENCIA TECNOLOGICA",593503
"TECNICO","17","EJECUTIVA SECCION COBRANZAS","EJECUTIVA SECCION COBRANZAS","ADM.GRAL. FONDO SOLIDARIO CRED",605004
"PROFESOR HORAS CLASES","S/G","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","DPTO INGENIERIA OBRAS CIVILES",251534
"ACADEMICOS","6","DOCTOR EN CIENCIAS DE LA INGENIERIA CON MENCION EN INGENIERIA DE PROCESOS","JEFE CARRERA LICENC. CS COMP","DPTO MAT. Y CS. DE LA COMP.",2997910
"PROFESIONALES","8","BIOLOGO","PROFESIONAL","VR INVEST. DESARR E INNOVACION",849857
"PROFESIONALES","8","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","CITECAMP",1737191
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","DEPTO DE HISTORIA",192726
"PROFESOR HORAS CLASES","S/G","INGENIERO AGRONOMO","HORAS CLASE","DEPARTAMENTO GESTION AGRARIA",176976
"ACADEMICOS","4","DOCTOR EN CIENCIAS DE LA TIERRA Y MEDIO AMBIENTE. GEOESTADÍSTICA","ACADEMICO","DPTO INGENIERIA EN MINAS",3107652
"TECNICO","14","TECNICO UNIVERSITARIO EN ANALISIS QUIMICO Y FISICO","TECNICO ESPECIALIZADO","DPTO. QUIMICA DE LOS MATERIALE",820937
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO INGENIERIA MECANICA",256280
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",308485
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",289501
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",72374
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",296182
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN MATEMATICA Y COMPUTACION","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",217125
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",573741
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",1342896
"ACADEMICOS","6","INGENIERO CIVIL EN MECANICA","ACADEMICO","VICERRECTORIA ACADÉMICA",2586546
"ACADEMICOS","6","MEDICO CIRUJANO","ACADEMICO","ESCUELA DE MEDICINA",2568466
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",206819
"TECNICO","12","SECRETARIA DE APOYO DOCENTE","SECRETARIA DE APOYO DOCENTE","DEPTO DE HISTORIA",791795
"ADMINISTRATIVO","16","TECNICO AUDIOVISUAL","TECNICO AUDIOVISUAL","VR. VINCULACION CON EL MEDIO",842191
"ADMINISTRATIVO","17","SECRETARIO B","SECRETARIO B","DPTO DE ECONOMIA",605004
"ADMINISTRATIVO","18","SECRETARIA ADMINISTRATIVA","SECRETARIA ADMINISTRATIVA","CENTRO DE INTEGR ING SOCIEDAD",618284
"TECNICO","13","TECNICO EN ADMINISTRACION DE EMPRESAS","TECNICO CONTABLE","DEPTO. DE FINANZAS Y TESORERIA",721337
"PROFESOR HORAS CLASES","S/G","ACTOR / ACTRIZ","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",243977
"TECNICO","19","ASISTENTE DE MANTENCION","ASISTENTE DE MANTENCION","UNIDAD BIENESTAR DEL PERSONAL",622713
"ACADEMICOS","4","DOUTOR EM ENGENHARIA ELETRICA","ACADEMICO","DPTO INGENIERIA ELECTRICA",3170986
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO DE ADMINISTRACION",196432
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO DE ADMINISTRACION",301329
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",294648
"TECNICO","17","TECNICO","TECNICO","DEPTO. DE FINANZAS Y TESORERIA",639508
"PROFESIONALES","10","MAGISTER EN INGENIERIA INFORMATICA","ANALISTA INFORMATICO","DPTO INGENIERIA INFORMATICA",1523009
"PROFESOR HORAS CLASES","S/G","MAGISTER EN INGENIERIA INFORMATICA","ANALISTA INFORMATICO","DPTO INGENIERIA INFORMATICA",392866
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO. TECNOLOGIAS GENERALES",109636
"PROFESIONALES","10","PROFESIONAL","PROFESIONAL","DEPTO. DESARROLLO DE PERSONAS",1475252
"PROFESIONALES","6","PROFESIONAL","PROFESIONAL","VR. VINCULACION CON EL MEDIO",2011324
"PROFESIONALES","8","PERIODISTA","PERIODISTA","DEPARTAMENTO DE ESTUDIOS",1827194
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL EN MINAS","HORAS CLASE","DPTO INGENIERIA EN MINAS",306889
"ACADEMICOS","4","DOCTOR EN CIENCIAS DE LA INGENIERIA CON MENCION EN INGENIERIA DE PROCESOS","ACADEMICO","DPTO INGENIERIA ELECTRICA",3213208
"AUXILIARES","23","AUXILIAR","AUXILIAR","DIR. ASISTENCIA JURIDICA",490153
"ADMINISTRATIVO","17","SECRETARIA DE APOYO DOCENTE","SECRETARIA DE APOYO DOCENTE","FACULTAD DE QUIMICA Y BIOLOGIA",614596
"PROFESIONALES","13","PROFESIONAL","PROFESIONAL","DPTO DE GESTIÓN DE LA INFRAEST",1188565
"PROFESOR HORAS CLASES","S/G","CONTADOR PUBLICO Y AUDITOR","HORAS CLASE","DPTO CONTABILIDAD Y AUDITOR",248723
"PROFESOR HORAS CLASES","S/G","DOCTOR EN CIENCIAS DE LA INFORMACION","HORAS CLASE","DEPARTAMENTO GESTION AGRARIA",1036542
"ACADEMICOS","6","DOCTOR EN CIENCIAS DE LA MOTRICIDAD HUMANA","ACADEMICO","CARRERA LICEN CS. ACTIV. FISIC",1283494
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",191994
"PROFESOR HORAS CLASES","S/G","PROFESORA DE EDUCACION MEDIA EN ARTES PLASTICAS","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",253469
"AUXILIARES","23","AUXILIAR","AUXILIAR","UNIDAD DE GESTION DEL CAMPUS",490153
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","UNIDAD PROMOCIÓN DE LA SALUD",247858
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN COMPUTACION E INFORMATICA","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",253768
"PROFESOR HORAS CLASES","S/G","DOCTOR EN FILOSOFIA CON MENCION EN CIENCIAS FISICAS","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",547714
