"Estamento","Grado","Titulo.Oficio","Funcion.Cargo","Unidad","BrutoHaber"
"AUXILIARES","23","AUXILIAR","AUXILIAR","UNIDAD DE GESTION DEL CAMPUS",506774
"PROFESOR HORAS CLASES","S/G","CONTADOR PUBLICO Y AUDITOR","HORAS CLASE","DPTO CONTABILIDAD Y AUDITOR",243977
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA ELECTRICA",500255
"PROFESOR HORAS CLASES","S/G","PROFESOR DE MATEMATICAS","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",718566
"ACADEMICOS","8","INGENIERO CIVIL EN MECANICA","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",522642
"ADMINISTRATIVO","17","ADMINISTRATIVO DE PROCESO","ADMINISTRATIVO DE PROCESO","VR INVEST. DESARR E INNOVACION",593503
"ADMINISTRATIVO","16","SECRETARIO(A) B","SECRETARIO(A) B","ESCUELA DE PSICOLOGIA",654790
"TECNICO","17","EJECUTIVA SECCION COBRANZAS","EJECUTIVA SECCION COBRANZAS","ADM.GRAL. FONDO SOLIDARIO CRED",605004
"PROFESIONALES","9","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","FACULTAD DE INGENIERÍA",1627388
"ACADEMICOS","6","DOCTOR EN CIENCIAS DE LA INGENIERIA CON MENCION EN INGENIERIA DE PROCESOS","JEFE CARRERA LICENC. CS COMP","DPTO MAT. Y CS. DE LA COMP.",2997910
"PROFESIONALES","8","BIOLOGO","PROFESIONAL","DPTO TRANSFERENCIA TECNOLOGICA",849857
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","DEPTO DE HISTORIA",196432
"PROFESIONALES","8","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","CITECAMP",1755192
"PROFESOR HORAS CLASES","S/G","INGENIERO AGRONOMO","HORAS CLASE","DEPARTAMENTO GESTION AGRARIA",377309
"ACADEMICOS","4","DOCTOR EN CIENCIAS DE LA TIERRA Y MEDIO AMBIENTE. GEOESTADÍSTICA","ACADEMICO","DPTO INGENIERIA EN MINAS",3128764
"TECNICO","13","TECNICO UNIVERSITARIO EN ANALISIS QUIMICO Y FISICO","ENCARGADO TECNICO LABORATORIO","DPTO. QUIMICA DE LOS MATERIALE",864345
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",488496
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL","HORAS CLASE","DPTO INGENIERIA OBRAS CIVILES",99337
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",100068
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",206819
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",1342896
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO INGENIERIA MECANICA",256280
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",308485
"ACADEMICOS","6","INGENIERO CIVIL EN MECANICA","ACADEMICO","VICERRECTORIA ACADÉMICA",2586546
"ACADEMICOS","6","MEDICO CIRUJANO","ACADEMICO","ESCUELA DE MEDICINA",2568466
"ADMINISTRATIVO","17","SECRETARIO B","SECRETARIO B","DPTO DE ECONOMIA",605004
"TECNICO","13","TECNICO EN ADMINISTRACION DE EMPRESAS","TECNICO CONTABLE","DEPTO. DE FINANZAS Y TESORERIA",734667
"TECNICO","12","SECRETARIA DE APOYO DOCENTE","SECRETARIA DE APOYO DOCENTE","DEPTO DE HISTORIA",791795
"ADMINISTRATIVO","17","SECRETARIO B","SECRETARIO B","CENTRO DE INTEGR ING SOCIEDAD",651009
"PROFESOR HORAS CLASES","S/G","ACTOR / ACTRIZ","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",237296
"PROFESOR HORAS CLASES","S/G","ACTOR / ACTRIZ","HORAS CLASE","DPTO LINGUISTICA Y LITERATURA",481271
"TECNICO","19","ASISTENTE DE MANTENCION","ASISTENTE DE MANTENCION","UNIDAD BIENESTAR DEL PERSONAL",633457
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO DE ADMINISTRACION",200138
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO DE ADMINISTRACION",306889
"ACADEMICOS","4","DOUTOR EM ENGENHARIA ELETRICA","ACADEMICO","DPTO INGENIERIA ELECTRICA",3170987
"PROFESOR HORAS CLASES","S/G","PSICOLOGO","HORAS CLASE","DPTO. GESTION Y POLITICAS PUB.",300208
"PROFESOR HORAS CLASES","S/G","MAGISTER EN INGENIERIA INFORMATICA","ANALISTA INFORMATICO","DPTO INGENIERIA INFORMATICA",512557
"TECNICO","16","ADMINISTRATIVO DE COBRANZAS","ADMINISTRATIVO DE COBRANZAS","DEPTO. DE FINANZAS Y TESORERIA",661500
"PROFESIONALES","10","MAGISTER EN INGENIERIA INFORMATICA","ANALISTA INFORMATICO","DPTO INGENIERIA INFORMATICA",1538927
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO. TECNOLOGIAS GENERALES",117872
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN COMPUTACION E INFORMATICA","HORAS CLASE","DPTO INGENIERIA INFORMATICA",115813
"PROFESIONALES","6","PROFESIONAL","PROFESIONAL","VR. VINCULACION CON EL MEDIO",2011324
