"Estamento","Grado","Titulo.Oficio","Funcion.Cargo","Unidad","BrutoHaber"
"AUXILIARES","23","AUXILIAR","AUXILIAR","UNIDAD DE GESTION DEL CAMPUS",581290
"ACADEMICOS","8","INGENIERO CIVIL EN MECANICA","ACADEMICO","DPTO. DE INVEST. CIENTIFICA",597158
"PROFESOR HORAS CLASES","S/G","CONTADOR PUBLICO Y AUDITOR","HORAS CLASE","DPTO CONTABILIDAD Y AUDITOR",318493
"PROFESOR HORAS CLASES","S/G","CONTADOR PUBLICO Y AUDITOR","HORAS CLASE","DPTO CONTABILIDAD Y AUDITOR",237296
"PROFESOR HORAS CLASES","S/G","PROFESOR DE MATEMATICAS","HORAS CLASE","DPTO MAT. Y CS. DE LA COMP.",793082
"PROFESOR HORAS CLASES","S/G","HORAS CLASE","HORAS CLASE","DPTO INGENIERIA ELECTRICA",500255
"ADMINISTRATIVO","16","SECRETARIO(A) B","SECRETARIO(A) B","ESCUELA DE PSICOLOGIA",865120
"PROFESIONALES","9","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","FACULTAD DE INGENIERÍA",1747070
"TECNICO","17","EJECUTIVA SECCION COBRANZAS","EJECUTIVA SECCION COBRANZAS","ADM.GRAL. FONDO SOLIDARIO CRED",780275
"ADMINISTRATIVO","17","ADMINISTRATIVO DE PROCESO","ADMINISTRATIVO DE PROCESO","DPTO TRANSFERENCIA TECNOLOGICA",668019
"PROFESOR HORAS CLASES","S/G","PROFESOR DE EDUCACION MEDIA EN INGLES","ANALISTA DE PROYECTOS","DPTO INGENIERIA OBRAS CIVILES",256280
"ACADEMICOS","6","DOCTOR EN CIENCIAS DE LA INGENIERIA CON MENCION EN INGENIERIA DE PROCESOS","JEFE CARRERA LICENC. CS COMP","DPTO MAT. Y CS. DE LA COMP.",2997910
"PROFESIONALES","8","BIOLOGO","PROFESIONAL","VR INVEST. DESARR E INNOVACION",974751
"PROFESIONALES","8","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","CITECAMP",1942829
"PROFESOR HORAS CLASES","S/G","PROFESOR DE ESTADO EN HISTORIA Y CIENCIAS SOCIALES","PROFESIONAL","DEPTO DE HISTORIA",196432
"PROFESOR HORAS CLASES","S/G","INGENIERO AGRONOMO","HORAS CLASE","DEPARTAMENTO GESTION AGRARIA",285041
"ACADEMICOS","4","DOCTOR EN CIENCIAS DE LA TIERRA Y MEDIO AMBIENTE. GEOESTADÍSTICA","ACADEMICO","DPTO INGENIERIA EN MINAS",3128764
"TECNICO","13","TECNICO UNIVERSITARIO EN ANALISIS QUIMICO Y FISICO","ENCARGADO TECNICO LABORATORIO","DPTO. QUIMICA DE LOS MATERIALE",1061441
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",200138
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",1342896
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN MECANICA","HORAS CLASE","DPTO. TECNOLOGIAS INDUSTRIALES",281335
"PROFESOR HORAS CLASES","S/G","INGENIERO DE EJECUCION EN QUIMICA","HORAS CLASE","DPTO INGENIERIA EN MINAS",308485
"ACADEMICOS","6","INGENIERO CIVIL EN MECANICA","ACADEMICO","VICERRECTORIA ACADÉMICA",2586546
"PROFESOR HORAS CLASES","S/G","INGENIERO CIVIL","HORAS CLASE","DPTO INGENIERIA OBRAS CIVILES",173853
"PROFESOR HORAS CLASES","S/G","ABOGADO(A)","HORAS CLASE","DEPTO DE HISTORIA",191994
